timestamp,x,y,z
2025-03-10 19:00:11.018478,-2.2361843585968018,6.66785192489624,12.339715957641602
2025-03-10 19:00:22.380919,-0.6775590777397156,4.644751071929932,8.101978302001953
2025-03-10 19:00:33.743360,0.2130839526653289,2.2218191623687744,7.386112213134766
2025-03-10 19:00:45.105801,-1.7405846118927002,6.440402507781982,9.634267807006836
2025-03-10 19:00:56.468242,0.102950669825077,4.458003520965576,10.347740173339844
2025-03-10 19:01:07.830682,-0.608127236366272,1.3694833517074585,8.312667846679688
2025-03-10 19:01:19.193123,-1.1228805780410769,3.241749048233032,7.817068576812744
2025-03-10 19:01:30.555564,-0.9457096457481384,3.0550012588500977,8.841787338256836
2025-03-10 19:01:41.918005,-1.0271124839782717,3.373430252075196,9.011775016784668
2025-03-10 19:01:53.280446,-1.1540051698684692,3.3279404640197754,8.652645111083984
2025-03-10 19:02:04.642886,-0.933738648891449,3.5386300086975098,8.844181060791016
2025-03-10 19:02:16.005327,-0.9792284965515136,3.694253206253052,8.89445972442627
2025-03-10 19:02:27.367768,-1.012747287750244,3.687070608139038,8.757989883422852
2025-03-10 19:02:38.730209,-0.9720458984375,3.335123062133789,8.755595207214355
2025-03-10 19:02:50.092650,-1.0031704902648926,3.509899616241455,8.760383605957031
2025-03-10 19:03:01.455091,-1.0247182846069336,3.687070608139038,8.834604263305664
2025-03-10 19:03:12.817531,-0.9481038451194764,3.574543237686157,8.911218643188477
2025-03-10 19:03:24.179972,-0.9624691009521484,3.44765043258667,8.951920509338379
2025-03-10 19:03:35.542413,-1.0342950820922852,3.509899616241455,8.920795440673828
2025-03-10 19:03:46.904854,-0.974440097808838,3.852270603179932,9.047688484191896
2025-03-10 19:03:58.267295,-1.0893617868423462,3.6320040225982666,8.971074104309082
2025-03-10 19:04:09.629735,-0.993593692779541,3.5266590118408203,8.825027465820312
2025-03-10 19:04:20.992176,-0.9864110946655272,3.50511121749878,8.81784439086914
2025-03-10 19:04:32.354617,-0.974440097808838,3.574543237686157,8.798690795898438
2025-03-10 19:04:43.717058,-0.8930372595787048,3.6320040225982666,8.731653213500977
2025-03-10 19:04:55.079499,-0.9552865028381348,3.5266590118408203,8.841787338256836
2025-03-10 19:05:06.441940,-0.9313444495201112,3.756502389907837,8.918401718139648
2025-03-10 19:05:17.804380,-0.9145850539207458,3.6367924213409424,8.901641845703125
2025-03-10 19:05:29.166821,-0.90979665517807,3.732560396194458,8.865729331970215
2025-03-10 19:05:40.529262,-0.9265560507774352,3.6822822093963614,8.913613319396973
2025-03-10 19:05:51.891703,-0.3663128614425659,1.0654197931289673,9.823410034179688
2025-03-10 19:06:03.254144,-0.2801215946674347,1.0869675874710083,9.780313491821287
2025-03-10 19:06:14.616585,-0.3016694188117981,0.9409212470054626,9.74679470062256
2025-03-10 19:06:25.979025,-0.2585737705230713,1.0869675874710083,9.78989028930664
2025-03-10 19:06:37.341466,-0.2681505978107452,1.0199298858642578,9.718064308166504
2025-03-10 19:06:48.703907,-0.2202665507793426,1.1276689767837524,9.727641105651855
2025-03-10 19:07:00.066348,-0.1843535304069519,1.108515381813049,9.708487510681152
2025-03-10 19:07:11.428789,-0.2873041927814483,1.1899182796478271,9.768342971801758
2025-03-10 19:07:22.791229,-0.3351882398128509,1.2497732639312744,9.806650161743164
2025-03-10 19:07:34.153670,-0.3088520169258117,1.2976573705673218,9.765948295593262
2025-03-10 19:07:45.516111,-0.2920926213264465,1.4053963422775269,9.780313491821287
2025-03-10 19:07:56.878552,-0.2202665507793426,1.357512354850769,9.785101890563965
2025-03-10 19:08:08.240993,-0.241814374923706,1.414973258972168,9.80904483795166
2025-03-10 19:08:19.603434,-0.2896983921527862,1.3718775510787964,9.830592155456545
2025-03-10 19:08:30.965874,-0.1939303427934646,1.3742717504501345,9.730035781860352
2025-03-10 19:08:42.328315,-0.2130839526653289,1.434126853942871,9.725247383117676
2025-03-10 19:08:53.690756,-0.2250549644231796,1.4484920501708984,9.785101890563965
2025-03-10 19:09:05.053197,-0.2442085742950439,1.4508862495422363,9.78989028930664
2025-03-10 19:09:16.415638,-0.2154781520366668,1.3503297567367554,9.739612579345703
2025-03-10 19:09:27.778078,-0.2322375625371933,1.2018892765045166,9.773131370544434
2025-03-10 19:09:39.140519,-0.2322375625371933,1.259350061416626,9.83298683166504
2025-03-10 19:09:50.502960,-0.3687070608139038,1.3479355573654177,9.749189376831056
2025-03-10 19:10:01.865401,-0.7422025203704834,1.192312479019165,9.93593692779541
2025-03-10 19:10:13.227842,-1.05105459690094,0.2992752194404602,9.964667320251465
2025-03-10 19:10:24.590283,0.4477157294750213,-0.9983820915222168,9.83538055419922
2025-03-10 19:10:35.952723,1.8842366933822632,-6.00226354598999,6.086060523986816
2025-03-10 19:10:47.315164,3.9863457679748535,-8.71728801727295,1.4844050407409668
2025-03-10 19:10:58.677605,5.037400245666504,-8.678980827331543,3.213018655776977
2025-03-10 19:11:10.040046,4.572925090789795,-8.166622161865234,2.3104045391082764
2025-03-10 19:11:21.402487,5.049371242523193,-9.478644371032717,0.5722141861915588
2025-03-10 19:11:32.764928,3.4117374420166016,-8.528146743774414,3.1938650608062744
2025-03-10 19:11:44.127368,2.363077163696289,-3.270479440689087,9.02135181427002
2025-03-10 19:11:55.489809,2.4420857429504395,-3.4332852363586426,9.02135181427002
2025-03-10 19:12:06.852250,2.4420857429504395,-3.471592426300049,8.846575736999512
2025-03-10 19:12:18.214691,2.4157495498657227,-3.3925838470458984,8.913613319396973
