time;x;y;z
2025-08-04 18:22:52.129519;-0,742203;3,876213;8,832211
2025-08-04 18:25:50.090384;-0,672771;4,163517;8,619126
2025-08-04 18:28:48.051249;2,339135;5,523423;7,838616
2025-08-04 18:31:46.012114;1,187524;2,954445;9,038112
2025-08-04 18:34:43.972979;3,095703;2,985569;9,090784
2025-08-04 18:37:41.933844;0,342371;1,276109;9,165004
2025-08-04 18:40:39.894709;-1,482011;-0,246603;11,310209
2025-08-04 18:43:37.855574;-2,398990;-0,988805;8,719683
2025-08-04 18:46:35.816439;-2,480393;2,901772;9,232041
2025-08-04 18:49:33.777304;-2,202666;-8,568848;2,916138
2025-08-04 18:52:31.738169;-1,122881;3,241749;7,817069
2025-08-04 18:55:29.699034;-0,931344;3,756502;8,918402
2025-08-04 18:58:27.659900;-0,225055;1,448492;9,785102
2025-08-04 19:01:25.620765;2,463634;-3,248932;8,908825
2025-08-04 19:04:23.581630;7,855376;-3,892972;4,003105
2025-08-04 19:07:21.542495;8,238448;-2,992752;4,072537
2025-08-04 19:10:19.503360;7,757214;-3,617639;4,350265
2025-08-04 19:13:17.464225;8,619126;-3,392584;4,273650
2025-08-04 19:16:15.425090;8,429984;-3,236961;3,993528
2025-08-04 19:19:13.385955;8,317456;-3,232172;4,405331
2025-08-04 19:22:11.346820;8,458714;-3,574543;4,201824
2025-08-04 19:25:09.307685;8,056489;-3,483563;4,819528
2025-08-04 19:28:07.268550;8,056489;-3,531447;4,127604
2025-08-04 19:31:05.229416;7,055712;-4,786009;3,895366
2025-08-04 19:34:03.190281;2,940080;1,592144;8,317456
2025-08-04 19:37:01.151146;-0,428562;0,818817;10,544065
2025-08-04 19:39:59.112011;-0,986411;-6,030994;7,898471
2025-08-04 19:42:57.072876;2,566584;-5,056554;8,276755
2025-08-04 19:45:55.033741;-3,155558;-6,488286;6,191406
2025-08-04 19:48:52.994606;-3,969586;-5,786786;6,861782
2025-08-04 19:51:50.955471;-4,036624;-3,069367;8,008605
2025-08-04 19:54:48.916336;-5,341464;-3,181894;7,809886
2025-08-04 19:57:46.877201;-6,967127;-5,142745;7,580042
2025-08-04 20:00:44.838066;-7,053318;-1,996764;7,479486
2025-08-04 20:03:42.798931;-4,905719;-3,246537;7,357382
2025-08-04 20:06:40.759797;-1,984793;-5,913678;7,769185
2025-08-04 20:09:38.720662;-6,540959;-0,785298;6,813898
2025-08-04 20:12:36.681527;-3,222595;-5,006276;8,233660
2025-08-04 20:15:34.642392;-3,485958;-3,758897;8,789114
2025-08-04 20:18:32.603257;0,883460;-3,600879;9,095572
2025-08-04 20:21:30.564122;2,703054;3,754108;8,872911
2025-08-04 20:24:28.524987;3,205836;4,604050;8,870518
2025-08-04 20:27:26.485852;1,024718;-3,857059;9,294291
2025-08-04 20:30:24.446717;0,304064;-8,092402;1,635240
2025-08-04 20:33:22.407582;1,082179;-2,090138;8,154651
2025-08-04 20:36:20.368447;0,809240;-2,257732;8,664616
2025-08-04 20:39:18.329313;1,079785;-4,893748;9,193734
2025-08-04 20:42:16.290178;1,127669;-3,069367;9,466674
2025-08-04 20:45:14.251043;-2,418144;-0,780510;10,864887
2025-08-04 20:48:12.211908;-3,016694;4,833893;6,634333
2025-08-04 20:51:10.172773;-3,122039;3,751714;9,459491
2025-08-04 20:54:08.133638;-7,273585;-5,068525;1,886631
2025-08-04 20:57:06.094503;-4,146757;-7,977480;2,923320
2025-08-04 21:00:04.055368;0,823605;1,070208;9,684546
2025-08-04 21:03:02.016233;-0,691924;-4,323928;8,482656
2025-08-04 21:05:59.977098;-1,036689;11,288661;0,974440
2025-08-04 21:08:57.937963;-3,940856;2,202666;7,307104
2025-08-04 21:11:55.898828;-4,149151;2,691083;7,862558
2025-08-04 21:14:53.859694;-3,512294;0,802058;8,707711
2025-08-04 21:17:51.820559;-2,736573;6,256049;4,824317
2025-08-04 21:20:49.781424;1,017536;-7,043741;11,439496
2025-08-04 21:23:47.742289;-5,044583;-8,310274;-0,004788
2025-08-04 21:26:45.703154;7,218518;6,670246;0,627281
2025-08-04 21:29:43.664019;7,017405;5,892130;5,628768
2025-08-04 21:32:41.624884;2,018312;-6,505046;7,144298
2025-08-04 21:35:39.585749;0,636858;-8,080431;6,076484
2025-08-04 21:38:37.546614;0,826000;2,221819;9,193734
2025-08-04 21:41:35.507479;1,608904;-9,440337;5,671864
2025-08-04 21:44:33.468344;2,468422;-10,285490;4,515464
2025-08-04 21:47:31.429210;0,478840;5,817910;7,690176
2025-08-04 21:50:29.390075;-0,213084;1,434127;9,725247
2025-08-04 21:53:27.350940;2,511518;-3,433285;8,860941
2025-08-04 21:56:25.311805;8,159439;-3,694253;4,182671
2025-08-04 21:59:23.272670;8,046912;-3,203442;4,173094
2025-08-04 22:02:21.233535;7,975086;-3,643975;4,273650
2025-08-04 22:05:19.194400;8,169016;-3,145981;4,280833
2025-08-04 22:08:17.155265;8,422802;-3,083732;4,072537
2025-08-04 22:11:15.116130;8,331821;-2,992752;4,982334
2025-08-04 22:14:13.076995;7,960721;-3,586514;4,635174
2025-08-04 22:17:11.037860;8,322245;-3,464410;4,735731
2025-08-04 22:20:08.998726;8,233660;-3,375824;4,235343
2025-08-04 22:23:06.959591;7,220912;-4,673482;3,842694
2025-08-04 22:26:04.920456;4,062960;1,309628;7,386112
2025-08-04 22:29:02.881321;1,529895;0,074220;7,963115
2025-08-04 22:32:00.842186;-0,720655;-5,827487;7,934384
